"Stats Area","Postcode","Year","Area Speed","Entity Code","CSEF Severity","Drugs Involved"
"2 Metropolitan",5110,2020,90,"Driver Rider","4: Fatal","Y"
"3 Country",5608,2020,50,"Driver Rider","3: SI","Y"
"3 Country",5460,2020,100,"Driver Rider","3: SI","Y"
"2 Metropolitan",5022,2020,60,"Driver Rider","1: PDO","Y"
"3 Country",5550,2020,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5162,2020,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5108,2020,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5114,2020,100,"Driver Rider","2: MI","Y"
"2 Metropolitan",5111,2020,80,"Driver Rider","4: Fatal","Y"
"2 Metropolitan",5108,2020,60,"Passenger","2: MI","Y"
"1 City",5006,2020,60,"Driver Rider","3: SI","Y"
"2 Metropolitan",5081,2020,60,"Driver Rider","1: PDO","Y"
